"Rank","Player","Team","Bye","POS","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","Le","","'Veon Bell","","","RB1","","","","1","","1.5"
"2","Adrian Peterson","","","RB2","","","","2","","1.8"
"3","Antonio Brown","","","WR1","","","","4","","3.8"
"4","Jamaal Charles","","","RB3","","","","5","","4.0"
"5","Eddie Lacy","","","RB4","","","","3","","4.0"
"6","Marshawn Lynch","","","RB5","","","","6","","7.3"
"7","Julio Jones","","","WR2","","","","7","","7.8"
"8","Dez Bryant","","","WR3","","","","10","","8.0"
"9","Rob Gronkowski","","","TE1","","","","8","","9.0"
"10","Odell Beckham Jr.","MIA","5","WR4","","","","11","","11.0"
"11","C.J. Anderson","","","RB6","","","","9","","11.5"
"12","Demaryius Thomas","","","WR5","","","","13","","11.8"
"13","Matt Forte","","","RB7","","","","12","","12.3"
"14","Calvin Johnson","","","WR6","","","","15","","14.8"
"15","DeMarco Murray","","","RB8","","","","14","","16.0"
"16","Jeremy Hill","","","RB9","","","","16","","16.8"
"17","A.J. Green","","","WR7","","","","18","","18.0"
"18","Andrew Luck","","","QB1","","","","19","","18.3"
"19","Randall Cobb","","","WR8","","","","20","","19.5"
"20","LeSean McCoy","","","RB10","","","","17","","19.5"
"21","Aaron Rodgers","NYJ","5","QB2","","","","26","","21.8"
"22","Justin Forsett","","","RB11","","","","21","","22.3"
"23","T.Y. Hilton","","","WR9","","","","23","","23.5"
"24","Alshon Jeffery","","","WR10","","","","25","","24.3"
"25","Brandin Cooks","DAL","6","WR11","","","","27","","26.8"
"26","Mike Evans","TB","6","WR12","","","","28","","26.8"
"27","Lamar Miller","","","RB12","","","","24","","27.0"
"28","Frank Gore","","","RB13","","","","29","","29.0"
"29","DeAndre Hopkins","TEN","4","WR13","","","","34","","29.8"
"30","Jimmy Graham","","","TE2","","","","30","","30.3"
"31","Jordan Matthews","CAR","5","WR14","","","","31","","31.5"
"32","Mark Ingram","II","","RB14","","","","32","","31.8"
"33","Emmanuel Sanders","","","WR15","","","","33","","32.5"
"34","Melvin Gordon","III","","RB15","","","","36","","37.0"
"35","Latavius Murray","","","RB16","","","","35","","37.8"
"36","Alfred Morris","","","RB17","","","","38","","41.0"
"37","Carlos Hyde","","","RB18","","","","40","","41.8"
"38","Andre Ellington","","","RB19","","","","39","","42.0"
"39","Andre Johnson","","","WR16","","","","45","","44.3"
"40","Amari Cooper","CLE","11","WR17","","","","49","","45.0"
"41","Golden Tate","","","WR18","","","","41","","45.5"
"42","Julian Edelman","","","WR19","","","","51","","47.3"
"43","Arian Foster","","","RB20","","","","56","","48.5"
