"Rank","Player","Team","Bye","POS","AVG"
"1","Christian McCaffrey","SF","9","RB1","1.0"
"2","CeeDee Lamb","DAL","7","WR1","2.0"
"3","Tyreek Hill","MIA","6","WR2","3.0"
"4","Ja'Marr Chase","CIN","12","WR3","5.0"
"5","Justin Jefferson","MIN","6","WR4","5.3"
"6","Breece Hall","NYJ","12","RB2","6.0"
"7","Bijan Robinson","ATL","12","RB3","6.7"
"8","Amon-Ra St. Brown","DET","5","WR5","7.0"
"9","A.J. Brown","PHI","5","WR6","9.0"
"10","Puka Nacua","LAR","6","WR7","10.0"
"11","Garrett Wilson","NYJ","12","WR8","12.3"
"12","Jahmyr Gibbs","DET","5","RB4","13.0"
"13","Jonathan Taylor","IND","14","RB5","13.7"
"14","Davante Adams","LV","10","WR9","15.7"
"15","Saquon Barkley","PHI","5","RB6","16.3"
"16","Marvin Harrison Jr.","ARI","11","WR10","17.0"
"17","Chris Olave","NO","12","WR11","19.7"
"18","Drake London","ATL","12","WR12","21.3"
"19","Nico Collins","HOU","14","WR13","22.0"
"20","Kyren Williams","LAR","6","RB7","22.7"
"21","De'Von Achane","MIA","6","RB8","23.7"
"22","Josh Allen","BUF","12","QB1","25.0"
"23","Deebo Samuel Sr.","SF","9","WR14","26.3"
"24","Brandon Aiyuk","SF","9","WR15","27.7"
"25","Sam LaPorta","DET","5","TE1","27.7"
"26","Travis Etienne Jr.","JAC","12","RB9","28.0"
"27","Michael Pittman Jr.","IND","14","WR16","28.3"
"28","Jaylen Waddle","MIA","6","WR17","29.0"
"29","Mike Evans","TB","11","WR18","29.3"
"30","DJ Moore","CHI","7","WR19","30.7"
"31","Derrick Henry","BAL","14","RB10","31.7"
"32","Jalen Hurts","PHI","5","QB2","32.7"
"33","Travis Kelce","KC","6","TE2","32.7"
"34","Stefon Diggs","HOU","14","WR20","33.3"
"35","Cooper Kupp","LAR","6","WR21","34.7"
"36","DK Metcalf","SEA","10","WR22","35.3"
"37","DeVonta Smith","PHI","5","WR23","35.7"
"38","Isiah Pacheco","KC","6","RB11","39.0"
"39","Josh Jacobs","GB","10","RB12","39.3"
"40","Patrick Mahomes II","KC","6","QB3","41.3"
"41","Lamar Jackson","BAL","14","QB4","42.0"
"42","Rachaad White","TB","11","RB13","43.3"
"43","Malik Nabers","NYG","11","WR24","44.7"
"44","Trey McBride","ARI","11","TE3","46.7"
"45","James Cook","BUF","12","RB14","47.0"
"46","Zay Flowers","BAL","14","WR25","47.3"
"47","Amari Cooper","CLE","10","WR26","47.3"
"48","Mark Andrews","BAL","14","TE4","51.3"
"49","Keenan Allen","CHI","7","WR27","52.7"
"50","Anthony Richardson","IND","14","QB5","53.0"
"51","George Pickens","PIT","9","WR28","53.3"
"52","Dalton Kincaid","BUF","12","TE5","53.3"
"53","C.J. Stroud","HOU","14","QB6","54.3"
"54","Joe Mixon","HOU","14","RB15","54.3"
"55","Kenneth Walker III","SEA","10","RB16","55.3"
"56","Tank Dell","HOU","14","WR29","55.7"
"57","Tee Higgins","CIN","12","WR30","55.7"
"58","Christian Kirk","JAC","12","WR31","57.3"
"59","Alvin Kamara","NO","12","RB17","58.0"
"60","Terry McLaurin","WAS","14","WR32","59.7"
"61","Kyle Pitts","ATL","12","TE6","63.3"
"62","Chris Godwin","TB","11","WR33","66.3"
"63","Jayden Reed","GB","10","WR34","66.7"
"64","Aaron Jones","MIN","6","RB18","67.3"
"65","Hollywood Brown","KC","6","WR35","67.7"
"66","Rhamondre Stevenson","NE","14","RB19","69.3"
"67","Calvin Ridley","TEN","5","WR36","69.3"
"68","Dak Prescott","DAL","7","QB7","70.0"
"69","Najee Harris","PIT","9","RB20","70.7"
"70","Evan Engram","JAC","12","TE7","71.7"
"71","Kyler Murray","ARI","11","QB8","72.0"
"72","Joe Burrow","CIN","12","QB9","72.3"
"73","DeAndre Hopkins","TEN","5","WR37","72.7"
"74","D'Andre Swift","CHI","7","RB21","73.7"
"75","Jordan Love","GB","10","QB10","73.7"
"76","George Kittle","SF","9","TE8","73.7"
"77","Rashee Rice","KC","6","WR38","73.7"
"78","Diontae Johnson","CAR","11","WR39","74.7"
"79","David Montgomery","DET","5","RB22","75.0"
"80","Zamir White","LV","10","RB23","77.0"
"81","James Conner","ARI","11","RB24","81.7"
"82","Zack Moss","CIN","12","RB25","83.0"
"83","Jordan Addison","MIN","6","WR40","83.7"
"84","Christian Watson","GB","10","WR41","84.7"
"85","Jaylen Warren","PIT","9","RB26","87.7"
"86","Jonathon Brooks","CAR","11","RB27","89.0"
"87","Javonte Williams","DEN","14","RB28","90.3"
"88","Xavier Worthy","KC","6","WR42","90.7"
"89","Jake Ferguson","DAL","7","TE9","92.0"
"90","Raheem Mostert","MIA","6","RB29","92.3"
"91","Ladd McConkey","LAC","5","WR43","93.0"
"92","Tony Pollard","TEN","5","RB30","93.3"
"93","Rome Odunze","CHI","7","WR44","94.0"
"94","Brock Purdy","SF","9","QB11","94.3"
"95","Jaxon Smith-Njigba","SEA","10","WR45","95.7"
"96","David Njoku","CLE","10","TE10","96.0"
"97","Austin Ekeler","WAS","14","RB31","97.0"
"98","Keon Coleman","BUF","12","WR46","98.0"
"99","Courtland Sutton","DEN","14","WR47","99.7"
"100","Tyjae Spears","TEN","5","RB32","100.7"
"101","Devin Singletary","NYG","11","RB33","101.3"
"102","Brock Bowers","LV","10","TE11","102.0"
"103","Jameson Williams","DET","5","WR48","103.3"
"104","Jayden Daniels","WAS","14","QB12","103.7"
"105","Jared Goff","DET","5","QB13","104.0"
"106","Brian Robinson Jr.","WAS","14","RB34","104.0"
"107","Brian Thomas Jr.","JAC","12","WR49","105.7"
