"Rank","Player","Team","Bye","POS","AVG"
"1","Christian McCaffrey","CAR","11","RB1","1.2"
"2","Dalvin Cook","MIN","6","RB2","2.5"
"3","Alvin Kamara","NO","12","RB3","3.8"
"4","Derrick Henry","TEN","5","RB4","4"
"5","Ezekiel Elliott","DAL","7","RB5","5.3"
"6","Davante Adams","GB","10","WR1","6.4"
"7","Aaron Jones","GB","10","RB6","7.5"
"8","Travis Kelce","KC","6","TE1","8.2"
"9","Austin Ekeler","LAC","5","RB7","8.5"
"10","Nick Chubb","CLE","10","RB8","9.9"
"11","Tyreek Hill","KC","6","WR2","10.6"
"12","Saquon Barkley","NYG","11","RB9","12"
"13","Najee Harris","PIT","9","RB10","12.9"
"14","Stefon Diggs","BUF","12","WR3","13.5"
"15","Jonathan Taylor","IND","14","RB11","13.8"
"16","Antonio Gibson","WAS","14","RB12","15.6"
"17","DeAndre Hopkins","ARI","11","WR4","17"
"18","Calvin Ridley","ATL","12","WR5","18"
"19","Joe Mixon","CIN","12","RB13","19.2"
"20","D.K. Metcalf","SEA","10","WR6","19.7"
"21","Clyde Edwards-Helaire","KC","6","RB14","20.4"
"22","Darren Waller","LV","10","TE2","21.5"
"23","Justin Jefferson","MIN","6","WR7","22.4"
"24","Patrick Mahomes","KC","6","QB1","22.9"
"25","A.J. Brown","TEN","5","WR8","24.8"
"26","David Montgomery","CHI","7","RB15","25.9"
"27","Keenan Allen","LAC","5","WR9","25.9"
"28","Chris Carson","SEA","10","RB16","28"
"29","George Kittle","SF","9","TE3","28.5"
"30","James Robinson","JAX","12","RB17","29.1"
"31","CeeDee Lamb","DAL","7","WR10","29.6"
"32","Terry McLaurin","WAS","14","WR11","30.3"
"33","Allen Robinson","CHI","7","WR12","32.7"
"34","D'Andre Swift","DET","5","RB18","34"
"35","Josh Allen","BUF","12","QB2","34.4"
"36","Robert Woods","LAR","6","WR13","35.1"
"37","Josh Jacobs","LV","10","RB19","35.4"
"38","Mike Evans","TB","11","WR14","37.8"
"39","Miles Sanders","PHI","5","RB20","38.7"
"40","Amari Cooper","DAL","7","WR15","40"
"41","Kyle Pitts","ATL","12","TE4","40.3"
"42","Kyler Murray","ARI","11","QB3","41.3"
"43","Cooper Kupp","LAR","6","WR16","41.3"
"44","Mike Davis","ATL","12","RB21","43.1"
"45","Darrell Henderson","LAR","6","RB22","43.8"
"46","Diontae Johnson","PIT","9","WR17","44.9"
"47","Myles Gaskin","MIA","6","RB23","45.7"
"48","Julio Jones","TEN","5","WR18","46"
"49","Chris Godwin","TB","11","WR19","47.2"
"50","Tyler Lockett","SEA","10","WR20","48.4"
"51","Lamar Jackson","BAL","14","QB4","50.9"
"52","Adam Thielen","MIN","6","WR21","52.3"
"53","Javonte Williams","DEN","14","RB24","52.7"
"54","Mark Andrews","BAL","14","TE5","52.8"
"55","Kareem Hunt","CLE","10","RB25","53.2"
"56","Brandon Aiyuk","SF","9","WR22","53.9"
"57","T.J. Hockenson","DET","5","TE6","55.4"
"58","Damien Harris","NE","14","RB26","55.5"
"59","Gus Edwards","BAL","14","RB27","56.6"
"60","D.J. Moore","CAR","11","WR23","57"
"61","Aaron Rodgers","GB","10","QB5","59"
"62","Chase Edmonds","ARI","11","RB28","60.4"
"63","Chase Claypool","PIT","9","WR24","61.1"
"64","Tee Higgins","CIN","12","WR25","61.3"
"65","Raheem Mostert","SF","9","RB29","63"
"66","Jerry Jeudy","DEN","14","WR26","64.1"
"67","Dak Prescott","DAL","7","QB6","66.7"
"68","Trey Sermon","SF","9","RB30","67.7"
"69","Odell Beckham Jr","LAR","6","WR27","69"
"70","Justin Herbert","LAC","5","QB7","69.3"
"71","Russell Wilson","SEA","10","QB8","69.4"
"72","Michael Thomas","NO","12","WR28","69.5"
"73","Logan Thomas","WAS","14","TE7","72.2"
"74","Antonio Brown","TB","11","WR29","72.7"
"75","Robby Anderson","CAR","11","WR30","75"
"76","Melvin Gordon","DEN","14","RB31","75.2"
"77","Michael Carter","NYJ","12","RB32","76.1"
"78","Ja'Marr Chase","CIN","12","WR31","77.4"
"79","DeVonta Smith","PHI","5","WR32","77.6"
"80","Tom Brady","TB","11","QB9","77.8"
"81","A.J. Dillon","GB","10","RB33","79.1"
"82","Noah Fant","DEN","14","TE8","79.2"
"83","Ronald Jones II","TB","11","RB34","79.8"
"84","JuJu Smith-Schuster","PIT","9","WR33","82.5"
"85","Kenny Golladay","NYG","11","WR34","82.8"
"86","Zack Moss","BUF","12","RB35","83.8"
"87","Matthew Stafford","LAR","6","QB10","85"
"88","Courtland Sutton","DEN","14","WR35","85.7"
"89","Laviska Shenault Jr.","JAX","12","WR36","85.9"
